Qty,Value,Device,Package,Parts,Description,AVAILABILITY,CATEGORY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,MANUFACTURER,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MP,MPN,OPERATING_TEMP,PACKAGE,PART_STATUS,POPULARITY,PRICE,PROD_ID,ROHS_COMPLIANT,SERIES,SNAPEDA_LINK,SPICEPREFIX,SUB-CATEGORY,THERMALLOSS,TYPE,VOLTAGE_RATING
1,,CONN_02,1X02,J2,"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections",,,,,,,,,,,,,,,,,,,,,,,,,
1,,"",1X08,J1,"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections",,,,,,,,,,,,,,,,,CONN-08438,,,,,,,,
1,0R,R-US_R0402,R0402,R5,"RESISTOR, American symbol",,,,,,,,,,,,,,,34,,,,,,R,,,,
1,100,R-US_R0402,R0402,R4,"RESISTOR, American symbol",,,,,,,,,,,,,,,34,,,,,,R,,,,
4,100nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C2, C4, C8, C10","Capacitor - Generic",,Capacitor,,,,,,,,,,,,,,,,,,,,,,,
1,100pF,C-EUC0402K,C0402K,C11,"CAPACITOR, European symbol",,,,,,,,,,,,,,,15,,,,,,C,,,,
2,10k,R-US_R0402,R0402,"R1, R3","RESISTOR, American symbol",,,,,,,,,,,,,,,34,,,,,,R,,,,
3,10uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C3, C7, C9","Capacitor - Generic",,Capacitor,,,,,,,,,,,,,,,,,,,,,,,
2,1uF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C5, C6","Capacitor - Generic",,Capacitor,,,,,,,,,,,,,,,,,,,,,,,
1,39,R-US_R0402,R0402,R2,"RESISTOR, American symbol",,,,,,,,,,,,,,,34,,,,,,R,,,,
1,4.7uF/10V,C_CHIP-0603(1608-METRIC),CAPC1608X85,C1,"Capacitor - Generic",,Capacitor,,,,,,,,,,,,,,,,,,,,,,,
1,BM08B-GHS-TBT(LF)(SN)(N),BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),P1,"Conn Header Gh Top 8pos 1.25mm Check availability","In Stock",,https://www.snapeda.com/parts/BM08B-GHS-TBT(LF)(SN)(N)/JST+Sales+America+Inc./view-part/?ref=eda,,"                                                      Connector Header Surface Mount 8 position 0.049 (1.25mm)                                              ",,,"JST Sales",,BM08B-GHS-TBT(LF)(SN)(N),,,None,,,None,,,,https://www.snapeda.com/parts/BM08B-GHS-TBT(LF)(SN)(N)/JST+Sales+America+Inc./view-part/?ref=snap,,,,,
1,PMW3360PMW3360-LM19,PMW3360PMW3360-LM19,PMW3360,PMW3360,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TLV70019DDCRDDC5-L,TLV70019DDCRDDC5-L,DDC5-L,U2,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,TLV70019DDCR,,"Texas Instruments",,,,,,,,,,,,,,,,
