Name,Mid X,Mid Y,Rotation,Value,Package,Layer
C1,-8.26,4.06,180.0,4.7uF/10V,CAPC1608X85,Top
C10,8.64,1.93,0.0,100nF,CAPC1005X60,Top
C2,-8.16,2.6,180.0,100nF,CAPC1005X60,Top
C3,-8.16,-2.52,180.0,10uF,CAPC1005X60,Top
C4,-8.16,-1.48,180.0,100nF,CAPC1005X60,Top
C5,-6.48,-8.49,0.0,1uF,CAPC1005X60,Top
C6,-9.66,-8.48,180.0,1uF,CAPC1005X60,Top
C7,-8.16,0.49,180.0,10uF,CAPC1005X60,Top
C8,-8.16,1.54,180.0,100nF,CAPC1005X60,Top
C9,8.65,0.78,0.0,10uF,CAPC1005X60,Top
P1,0.0,-12.59,180.0,BM08B-GHS-TBT(LF)(SN)(N),JST_BM08B-GHS-TBT(LF)(SN)(N),Top
PMW3360,-0.01,-1.01,0.0,PMW3360PMW3360-LM19,PMW3360,Top
R1,-7.93,-3.7,0.0,10k,R0402,Top
R2,7.45,3.03,0.0,39,R0402,Top
R3,-6.14,-14.85,0.0,10k,R0402,Top
R4,7.1,-2.42,0.0,100,R0402,Top
R5,-11.0,-17.5,90.0,0R,R0402,Top
U2,-8.79,-5.98,180.0,TLV70019DDCRDDC5-L,DDC5-L,Top
